node_id,parent_id,tag,value,path,xpath,parent_path,depth,index_in_parent
beaf4c61-316c-48f7-aa3c-874d04092059,e342084f-6390-4df7-8eb8-12c98542f54a,CommercialLawLevelOneEvaluatedAmountValue,,ProductMDMBulkReplicateRequestMessage.ProductMDMReplicateRequestMessage.Product.ValuationArea.ValuationAccount.CommercialLawLevelOneEvaluatedAmountValue,/ProductMDMBulkReplicateRequestMessage/ProductMDMReplicateRequestMessage/Product/ValuationArea/ValuationAccount/CommercialLawLevelOneEvaluatedAmountValue,ProductMDMBulkReplicateRequestMessage.ProductMDMReplicateRequestMessage.Product.ValuationArea.ValuationAccount,5,0
43937678-5ca8-40c9-b07c-1d0863986b64,beaf4c61-316c-48f7-aa3c-874d04092059,@{http://www.w3.org/2001/XMLSchema-instance}nil,true,ProductMDMBulkReplicateRequestMessage.ProductMDMReplicateRequestMessage.Product.ValuationArea.ValuationAccount.CommercialLawLevelOneEvaluatedAmountValue.@{http://www.w3.org/2001/XMLSchema-instance}nil,/ProductMDMBulkReplicateRequestMessage/ProductMDMReplicateRequestMessage/Product/ValuationArea/ValuationAccount/CommercialLawLevelOneEvaluatedAmountValue/@{http://www.w3.org/2001/XMLSchema-instance}nil,ProductMDMBulkReplicateRequestMessage.ProductMDMReplicateRequestMessage.Product.ValuationArea.ValuationAccount.CommercialLawLevelOneEvaluatedAmountValue,6,0
5e785447-5bc3-4e40-96bc-651c37db797c,e342084f-6390-4df7-8eb8-12c98542f54a,CommercialLawLevelTwoEvaluatedAmountValue,,ProductMDMBulkReplicateRequestMessage.ProductMDMReplicateRequestMessage.Product.ValuationArea.ValuationAccount.CommercialLawLevelTwoEvaluatedAmountValue,/ProductMDMBulkReplicateRequestMessage/ProductMDMReplicateRequestMessage/Product/ValuationArea/ValuationAccount/CommercialLawLevelTwoEvaluatedAmountValue,ProductMDMBulkReplicateRequestMessage.ProductMDMReplicateRequestMessage.Product.ValuationArea.ValuationAccount,5,1
69d774e2-095d-4b8b-ad18-d3c4ea21eef8,5e785447-5bc3-4e40-96bc-651c37db797c,@{http://www.w3.org/2001/XMLSchema-instance}nil,true,ProductMDMBulkReplicateRequestMessage.ProductMDMReplicateRequestMessage.Product.ValuationArea.ValuationAccount.CommercialLawLevelTwoEvaluatedAmountValue.@{http://www.w3.org/2001/XMLSchema-instance}nil,/ProductMDMBulkReplicateRequestMessage/ProductMDMReplicateRequestMessage/Product/ValuationArea/ValuationAccount/CommercialLawLevelTwoEvaluatedAmountValue/@{http://www.w3.org/2001/XMLSchema-instance}nil,ProductMDMBulkReplicateRequestMessage.ProductMDMReplicateRequestMessage.Product.ValuationArea.ValuationAccount.CommercialLawLevelTwoEvaluatedAmountValue,6,0
cfa21c7b-3704-4fc6-8ccd-4f4b144dd731,e342084f-6390-4df7-8eb8-12c98542f54a,CommercialLawLevelThreeEvaluatedAmountValue,,ProductMDMBulkReplicateRequestMessage.ProductMDMReplicateRequestMessage.Product.ValuationArea.ValuationAccount.CommercialLawLevelThreeEvaluatedAmountValue,/ProductMDMBulkReplicateRequestMessage/ProductMDMReplicateRequestMessage/Product/ValuationArea/ValuationAccount/CommercialLawLevelThreeEvaluatedAmountValue,ProductMDMBulkReplicateRequestMessage.ProductMDMReplicateRequestMessage.Product.ValuationArea.ValuationAccount,5,2
ed1abb34-cbca-43c9-bc42-24c22361ddf5,cfa21c7b-3704-4fc6-8ccd-4f4b144dd731,@{http://www.w3.org/2001/XMLSchema-instance}nil,true,ProductMDMBulkReplicateRequestMessage.ProductMDMReplicateRequestMessage.Product.ValuationArea.ValuationAccount.CommercialLawLevelThreeEvaluatedAmountValue.@{http://www.w3.org/2001/XMLSchema-instance}nil,/ProductMDMBulkReplicateRequestMessage/ProductMDMReplicateRequestMessage/Product/ValuationArea/ValuationAccount/CommercialLawLevelThreeEvaluatedAmountValue/@{http://www.w3.org/2001/XMLSchema-instance}nil,ProductMDMBulkReplicateRequestMessage.ProductMDMReplicateRequestMessage.Product.ValuationArea.ValuationAccount.CommercialLawLevelThreeEvaluatedAmountValue,6,0
bc3de1aa-629a-4bdd-b303-0890ed56f0fd,e342084f-6390-4df7-8eb8-12c98542f54a,DevaluationMeasureNumberValue,,ProductMDMBulkReplicateRequestMessage.ProductMDMReplicateRequestMessage.Product.ValuationArea.ValuationAccount.DevaluationMeasureNumberValue,/ProductMDMBulkReplicateRequestMessage/ProductMDMReplicateRequestMessage/Product/ValuationArea/ValuationAccount/DevaluationMeasureNumberValue,ProductMDMBulkReplicateRequestMessage.ProductMDMReplicateRequestMessage.Product.ValuationArea.ValuationAccount,5,3
671d0306-4d60-4147-ac8b-759bb487a3b1,bc3de1aa-629a-4bdd-b303-0890ed56f0fd,@{http://www.w3.org/2001/XMLSchema-instance}nil,true,ProductMDMBulkReplicateRequestMessage.ProductMDMReplicateRequestMessage.Product.ValuationArea.ValuationAccount.DevaluationMeasureNumberValue.@{http://www.w3.org/2001/XMLSchema-instance}nil,/ProductMDMBulkReplicateRequestMessage/ProductMDMReplicateRequestMessage/Product/ValuationArea/ValuationAccount/DevaluationMeasureNumberValue/@{http://www.w3.org/2001/XMLSchema-instance}nil,ProductMDMBulkReplicateRequestMessage.ProductMDMReplicateRequestMessage.Product.ValuationArea.ValuationAccount.DevaluationMeasureNumberValue,6,0
a12f0472-7ce4-48e6-9118-c8fabc8a0f84,e342084f-6390-4df7-8eb8-12c98542f54a,LIFOValuationRelevanceIndicator,false,ProductMDMBulkReplicateRequestMessage.ProductMDMReplicateRequestMessage.Product.ValuationArea.ValuationAccount.LIFOValuationRelevanceIndicator,/ProductMDMBulkReplicateRequestMessage/ProductMDMReplicateRequestMessage/Product/ValuationArea/ValuationAccount/LIFOValuationRelevanceIndicator,ProductMDMBulkReplicateRequestMessage.ProductMDMReplicateRequestMessage.Product.ValuationArea.ValuationAccount,5,4
2f35f94b-03a3-4aa3-9bb5-1d5b2cd437d6,e342084f-6390-4df7-8eb8-12c98542f54a,LIFOValuationPoolTypeCode,,ProductMDMBulkReplicateRequestMessage.ProductMDMReplicateRequestMessage.Product.ValuationArea.ValuationAccount.LIFOValuationPoolTypeCode,/ProductMDMBulkReplicateRequestMessage/ProductMDMReplicateRequestMessage/Product/ValuationArea/ValuationAccount/LIFOValuationPoolTypeCode,ProductMDMBulkReplicateRequestMessage.ProductMDMReplicateRequestMessage.Product.ValuationArea.ValuationAccount,5,5
